n,lambda,method,regularized_objective,transport_cost,lp_cost,cost_minus_lp,marginal_violation,time_seconds,status
200,10.0,clarabel_ipm,5.917412802909633,5.905774433423457,5.902671708288557,0.003102725134899842,6.552146828570082e-10,0.2417069999501109,optimal
200,3.5938136638046276,clarabel_ipm,5.909059220878717,5.903596868140696,5.902671708288557,0.0009251598521382576,2.7798273674259355e-09,0.2320934160379693,optimal
200,1.291549665014884,clarabel_ipm,5.905275008606733,5.902950948932127,5.902671708288557,0.000279240643569878,1.6270487925712507e-09,0.24247454095166177,optimal
200,0.464158883361278,clarabel_ipm,5.90368655890392,5.902739968222033,5.902671708288557,6.825993347536752e-05,1.3810848599297987e-08,0.24279124999884516,optimal
200,0.1668100537200059,clarabel_ipm,5.903060195203201,5.902685927713572,5.902671708288557,1.4219425014339038e-05,3.845020946600941e-09,0.25318412494380027,optimal
200,0.05994842503189409,clarabel_ipm,5.9028141738306985,5.902673529326495,5.902671708288557,1.8210379373329033e-06,8.02117523530238e-09,0.24067208298947662,optimal
200,0.021544346900318846,clarabel_ipm,5.90272429003087,5.902673209141202,5.902671708288557,1.500852644831241e-06,8.592404129089543e-08,0.2403241660213098,optimal
200,0.007742636826811277,clarabel_ipm,5.90269216607332,5.902673601854152,5.902671708288557,1.8935655949903207e-06,1.8998320026539228e-07,0.2408585420344025,optimal
200,0.0027825594022071257,clarabel_ipm,5.902678789632506,5.902671882662143,5.902671708288557,1.743735857928641e-07,1.4168834825897814e-08,0.25078683299943805,optimal
200,0.001,clarabel_ipm,5.9026742572415465,5.902671757394497,5.902671708288557,4.910593975893107e-08,6.295142666694342e-09,0.25033395807258785,optimal
