n,lambda,rho,method,time_seconds,regularized_objective,transport_cost,marginal_violation,status
200,0.1,0.01,osqp_admm,36.20947266602889,5.90290811755359,5.902675800544577,4.7482247226074414e-08,optimal
200,0.1,0.1,osqp_admm,40.44690387498122,5.902907933689828,5.902675613063186,2.0963063968731932e-08,optimal
200,0.1,1.0,osqp_admm,42.16888883302454,5.902907961045239,5.902675640576266,2.831816731281578e-08,optimal
200,0.1,10.0,osqp_admm,15.330881332978606,5.90290977917344,5.902677428826919,4.84323562720268e-07,optimal
