n,lambda,method,time_seconds,regularized_objective,transport_cost,marginal_violation,status
200,1.0,pot_sinkhorn,0.0007079580100253224,-3.0314809843082253,6.688480788276366,4.3016872494638925e-09,finished
200,1.0,manual_sinkhorn,0.0006892919773235917,-3.0314809780326932,6.688480794875655,3.2354358775465997e-11,finished after 51 iterations
